Parite,Date,Haftalık Bias,P-RR,RR,Session,Tradingview,W/L,Yön
EURUSD,25/05/2022,Bull,2,2,Other,https://www.tradingview.com/x/lYr1Hvtv/,Yes,Long
EURUSD,03/08/2022,Bear,2.33,2.33,London,https://www.tradingview.com/x/QwiiPHv5/,Yes,Long
EURUSD,31/08/2022,Bear,,-1,London,https://www.tradingview.com/x/Zj9HxzXo/,No,Long
EURUSD,20/07/2022,Bear,3.5,2,London,https://www.tradingview.com/x/Vyjzzd4V/,Yes,Short
EURUSD,06/09/2022,Bear,2.36,2.36,London,https://www.tradingview.com/x/Xub154fy/,Yes,Short
EURUSD,03/06/2022,Bull,4,2.14,London,https://www.tradingview.com/x/3CK2VdGm/,Yes,Short
EURUSD,16/08/2022,Bear,,-1,London,https://www.tradingview.com/x/fFXdwzF0/,No,Long
EURUSD,31/08/2022,Bear,3.2,2.84,New York,https://www.tradingview.com/x/drEbiuTx/,Yes,Long
EURUSD,07/10/2022,Bear,,-1,New York,https://www.tradingview.com/x/YfRgmMVT/,No,Long
EURUSD,01/08/2022,Bear,,-1,New York,https://www.tradingview.com/x/MEFSa2yW/,No,Short
EURUSD,06/05/2022,Bear,1.73,1.73,London,https://www.tradingview.com/x/J74rRUMh/,Yes,Long
EURUSD,22/06/2022,Bear,2.42,2.42,Other,https://www.tradingview.com/x/MV3yJucX/,Yes,Short
EURUSD,09/12/2022,Bull,2,2,London,https://www.tradingview.com/x/kcUkEDHI/,Yes,Short
EURUSD,22/12/2022,Bull,2.33,1.83,London,https://www.tradingview.com/x/PcHavUtC/,Yes,Short
EURUSD,15/12/2022,Bull,4,2.15,London,https://www.tradingview.com/x/7HzI8EJP/,Yes,Long
EURUSD,01/07/2022,Bear,2,1.8,Other,https://www.tradingview.com/x/h2CO9X4o/,Yes,Long
EURUSD,20/09/2022,Bear,3.8,2,London,https://www.tradingview.com/x/reIkYtoM/,Yes,Short
EURUSD,31/10/2022,Bear,,-1,London,https://www.tradingview.com/x/zZCnhLJR/,No,Long
EURUSD,12/10/2022,Bear,2.33,2.33,Other,https://www.tradingview.com/x/naIf4oHi/,Yes,Long
EURUSD,28/11/2022,Bull,2.2,2.2,London,https://www.tradingview.com/x/bi3paf8H/,Yes,Long
EURUSD,11/10/2022,Bear,2.11,2.11,London,https://www.tradingview.com/x/yTrJOHVc/,Yes,Long
EURUSD,13/10/2022,Bear,,-1,London,https://www.tradingview.com/x/cvizKEDN/,No,Short
EURUSD,02/12/2022,Bull,,-1,London,https://www.tradingview.com/x/StLeV6O8/,No,Short
EURUSD,27/10/2022,Bear,5,2.44,London,https://www.tradingview.com/x/CVrgwIG5/,Yes,Short
EURUSD,17/11/2022,Bull,,-1,New York,https://www.tradingview.com/x/AXkFRTRi/,No,Long
EURUSD,07/12/2022,Bull,2.56,2.56,London,https://www.tradingview.com/x/gqTixpX8/,Yes,Long
EURUSD,18/10/2022,Bear,,-1,London,https://www.tradingview.com/x/fNeqIVhc/,No,Short
EURUSD,04/04/2023,Bull,,-1,New York,https://www.tradingview.com/x/J0EPL9Do/,No,Short
EURUSD,12/04/2023,Bull,,-1,London,https://www.tradingview.com/x/HTzVWl0d/,No,Short
EURUSD,23/03/2023,Bull,3,2,New York,https://www.tradingview.com/x/ETnJX2MW/,Yes,Short
EURUSD,29/03/2023,Bull,3,3,London,https://www.tradingview.com/x/P3RQtbyk/,Yes,Short
EURUSD,06/12/2022,Bull,,-1,New York,https://www.tradingview.com/x/zCJ3ETJi/,No,Long
EURUSD,18/01/2023,Bull,2.87,2.87,London,https://www.tradingview.com/x/AnH9LPAg/,Yes,Short
EURUSD,02/12/2022,Bull,4,2.2,New York,https://www.tradingview.com/x/sUad5ETN/,Yes,Short
EURUSD,15/03/2023,Bull,3.5,2.25,London,https://www.tradingview.com/x/W805yxxc/,Yes,Short
EURUSD,20/01/2023,Bull,1.7,1.7,New York,https://www.tradingview.com/x/hDOJB8gf/,Yes,Short
EURUSD,06/01/2023,Bull,3.25,2.08,New York,https://www.tradingview.com/x/7eJCOrVC/,Yes,Long
EURUSD,26/01/2023,Bull,4,2.12,London,https://www.tradingview.com/x/93fnmUHT/,Yes,Short
EURUSD,20/03/2023,Bull,1.8,1.8,London,https://www.tradingview.com/x/UM1DMBU5/,Yes,Short
EURUSD,10/03/2023,Bull,,-1,London,https://www.tradingview.com/x/m1Ydo5uk/,No,Short
EURUSD,13/02/2023,Bull,3,2.35,London,https://www.tradingview.com/x/HUAHfsiF/,Yes,Long
EURUSD,06/03/2023,Bull,,-1,New York,https://www.tradingview.com/x/GDkf3fJu/,No,Short
EURUSD,11/04/2023,Bull,,-1,New York,https://www.tradingview.com/x/tpgvpDuz/,No,Short
EURUSD,22/02/2023,Bull,,-1,New York,https://www.tradingview.com/x/1Zny9gOG/,No,Long
EURUSD,26/01/2023,Bull,,-1,Other,https://www.tradingview.com/x/B7GunGWI/,No,Short
EURUSD,10/03/2023,Bull,,-1,Other,https://www.tradingview.com/x/AVn4FMyf/,No,Short
EURUSD,06/04/2023,Bull,2.5,2.42,New York,https://www.tradingview.com/x/l7ZbXIDx/,Yes,Long
EURUSD,09/03/2023,Bull,,-1,New York,https://www.tradingview.com/x/eWd13CAl/,No,Short
EURUSD,30/03/2023,Bull,,-1,London,https://www.tradingview.com/x/cXfJqXFJ/,No,Short
EURUSD,30/01/2023,Bull,5,2.19,New York,https://www.tradingview.com/x/PV3LipNJ/,Yes,Short
EURUSD,21/02/2023,Bull,,-1,London,https://www.tradingview.com/x/0w052ygc/,No,Long
EURUSD,20/01/2023,Bull,,-1,London,https://www.tradingview.com/x/SM7fnsnY/,No,Short
EURUSD,16/01/2023,Bull,3.9,2.56,London,https://www.tradingview.com/x/KdRGso3x/,Yes,Short
EURUSD,31/01/2023,Bull,,-1,London,https://www.tradingview.com/x/MVnzseYA/,No,Long
EURUSD,15/02/2023,Bull,,-1,New York,https://www.tradingview.com/x/ooJ14OvO/,No,Long
EURUSD,13/04/2023,Bull,,-1,London,https://www.tradingview.com/x/Myo1k1of/,No,Short
EURUSD,27/02/2023,Bull,3.63,2.62,London,https://www.tradingview.com/x/jlep3mNk/,Yes,Long
EURUSD,23/02/2023,Bull,,-1,New York,https://www.tradingview.com/x/9EwgBwic/,No,Long
EURUSD,03/02/2023,Bull,,-1,New York,https://www.tradingview.com/x/HtKGFlZO/,No,Long
EURUSD,12/07/2023,Bull,2.3,2.31,London,https://www.tradingview.com/x/2m8qeQtk/,Yes,Short
EURUSD,05/07/2023,Bull,3.18,3.18,London,https://www.tradingview.com/x/3qg1bTxZ/,Yes,Long
EURUSD,12/06/2023,Bull,2.88,2.11,London,https://www.tradingview.com/x/PXRFWgUP/,Yes,Long
EURUSD,11/07/2023,Bull,1.6,1.6,London,https://www.tradingview.com/x/VqrpizyN/,Yes,Short
EURUSD,27/07/2023,Bull,,-1,London,https://www.tradingview.com/x/upB7XGsu/,No,Short
EURUSD,03/08/2023,Bull,1.8,1.8,New York,https://www.tradingview.com/x/c7h1vOCO/,Yes,Long
EURUSD,26/05/2023,Bull,4.47,2.47,New York,https://www.tradingview.com/x/QCmIzR11/,Yes,Short
EURUSD,02/05/2023,Bull,,-1,New York,https://www.tradingview.com/x/FVcqXhpN/,No,Long
EURUSD,17/07/2023,Bull,3.17,2.63,New York,https://www.tradingview.com/x/EdEWXZja/,Yes,Short
EURUSD,18/07/2023,Bull,2.5,2.16,New York,https://www.tradingview.com/x/6sLNNnWz/,Yes,Short
EURUSD,22/08/2023,Bull,1.8,1.84,London,https://www.tradingview.com/x/ppGkm6d3/,Yes,Short
EURUSD,24/08/2023,Bull,4.5,2.33,London,https://www.tradingview.com/x/ffpRPIIh/,Yes,Short
EURUSD,15/05/2023,Bull,2.22,2.22,Other,https://www.tradingview.com/x/JFzp9Spr/,Yes,Long
EURUSD,25/04/2023,Bull,3,2.03,London,https://www.tradingview.com/x/xiK7q0NJ/,Yes,Short
EURUSD,22/05/2023,Bull,2.16,2.16,London,https://www.tradingview.com/x/di0KE4E7/,Yes,Short
EURUSD,29/06/2023,Bull,,-1,New York,https://www.tradingview.com/x/kKAo8BkI/,No,Long
EURUSD,14/08/2023,Bull,,-1,London,https://www.tradingview.com/x/7AhwMMFv/,No,Long
EURUSD,14/07/2023,Bull,,-1,London,https://www.tradingview.com/x/CW47O3jG/,No,Short
EURUSD,02/06/2023,Bull,2.5,2.33,New York,https://www.tradingview.com/x/nW19PLvy/,Yes,Short
EURUSD,19/04/2023,Bull,4.1,2.47,London,https://www.tradingview.com/x/ZK9fOUZc/,Yes,Short
EURUSD,22/06/2023,Bull,1.5,1.5,New York,https://www.tradingview.com/x/7dvnRFkz/,Yes,Short
EURUSD,06/07/2023,Bull,2.65,2.13,London,https://www.tradingview.com/x/fT4y2giR/,Yes,Long
EURUSD,16/05/2023,Bull,2.13,2.13,New York,https://www.tradingview.com/x/jDzL9JDe/,Yes,Short
EURUSD,17/08/2023,Bull,4.53,2.95,London,https://www.tradingview.com/x/pPxFTwh4/,Yes,Long
EURUSD,02/08/2023,Bull,2.5,2.05,Other,https://www.tradingview.com/x/08HXDssE/,Yes,Short
EURUSD,28/04/2023,Bull,1.58,1.58,New York,https://www.tradingview.com/x/9dVOBzTz/,Yes,Long
EURUSD,29/08/2023,Bull,4,2.1,London,https://www.tradingview.com/x/0K6eMqjs/,Yes,Short
EURUSD,19/05/2023,Bull,3.27,2.12,London,https://www.tradingview.com/x/N9CTJwbc/,Yes,Long
EURUSD,12/06/2023,Bull,2,1.86,New York,https://www.tradingview.com/x/qqOcyIOI/,Yes,Short
EURUSD,13/07/2023,Bull,,-1,London,https://www.tradingview.com/x/giGBYuF4/,No,Short
EURUSD,18/07/2023,Bull,,-1,London,https://www.tradingview.com/x/vkjVpZMI/,No,Short
EURUSD,30/05/2023,Bull,2.5,2,New York,https://www.tradingview.com/x/RgJi9gbF/,Yes,Short
EURUSD,14/04/2023,Bull,8,2.8,London,https://www.tradingview.com/x/ZK9fOUZc/,Yes,Short
EURUSD,19/07/2023,Bull,,-1,New York,https://www.tradingview.com/x/wGaH3MrL/,No,Long
EURUSD,06/06/2023,Bull,2.14,2.14,London,https://www.tradingview.com/x/rw2I1hYs/,Yes,Short
EURUSD,08/05/2023,Bull,3.42,2.53,New York,https://www.tradingview.com/x/5HmQgMc3/,Yes,Short
EURUSD,11/10/2023,Bear,,-1,London,https://www.tradingview.com/x/3XRqLn7Q/,No,Short
EURUSD,17/10/2023,Bear,,-1,New York,https://www.tradingview.com/x/sWnq9jKW/,No,Short
EURUSD,27/09/2023,Bull,,-1,London,https://www.tradingview.com/x/v4Cf5L89/,No,Long
EURUSD,22/06/2023,Bull,,-1,London,https://www.tradingview.com/x/7dvnRFkz/,No,Short
EURUSD,01/09/2023,Bull,2.5,2.5,New York,https://www.tradingview.com/x/6RAbAlcL/,Yes,Long
EURUSD,26/09/2023,Bull,,-1,New York,https://www.tradingview.com/x/LXHk3bZ7/,No,Long
EURUSD,06/10/2023,Bear,,-1,London,https://www.tradingview.com/x/z1PAwpvt/,No,Short
EURUSD,03/10/2023,Bear,,-1,London,https://www.tradingview.com/x/LFkKZZ3P/,No,Long
EURUSD,14/12/2023,Bull,,-1,London,https://www.tradingview.com/x/EA1Qx54j/,No,Short
EURUSD,09/11/2023,Bear,5.8,3.75,New York,https://www.tradingview.com/x/t0p18nTa/,Yes,Short
EURUSD,06/11/2023,Bear,2.61,2.61,New York,https://www.tradingview.com/x/t3vHezlv/,Yes,Short
EURUSD,16/11/2023,Bull,3,2.4,New York,https://www.tradingview.com/x/InjKCDHk/,Yes,Long
EURUSD,20/09/2023,Bull,3.2,2.3,London,https://www.tradingview.com/x/z3bKDBG9/,Yes,Long
EURUSD,23/10/2023,Bear,,-1,New York,https://www.tradingview.com/x/JLuZ5OvO/,No,Short
EURUSD,10/11/2023,Bull,2,1.7,London,https://www.tradingview.com/x/x9dgDXph/,Yes,Long
EURUSD,06/12/2023,Bull,,-1,London,https://www.tradingview.com/x/YhjNC4R6/,No,Short
EURUSD,08/11/2023,Bear,4.5,3,London,https://www.tradingview.com/x/NKOOwNTZ/,Yes,Long
EURUSD,16/11/2023,Bull,2,2,New York,https://www.tradingview.com/x/tQlDFUbh/,Yes,Short
EURUSD,07/12/2023,Bull,3,2.78,London,https://www.tradingview.com/x/NsnC8uD4/,Yes,Long
EURUSD,27/11/2023,Bull,2.5,2.5,London,https://www.tradingview.com/x/LnQmlxs3/,Yes,Short
EURUSD,08/08/2024,Bear,2.35,2.08,New York,https://www.tradingview.com/x/gh9Daq2G/,Yes,Short
EURUSD,15/10/2024,Bear,,-1,New York,https://www.tradingview.com/x/CUpz00ID/,No,Long
EURUSD,24/10/2024,Bear,,-1,New York,https://www.tradingview.com/x/m5gtZGBQ/,No,Short
EURUSD,21/11/2023,Bull,4,2.1,London,https://www.tradingview.com/x/z0gDdZpX/,Yes,Short
EURUSD,09/05/2024,Bear,,-1,New York,https://www.tradingview.com/x/s9DSy2RQ/,No,Long
EURUSD,29/07/2024,Bear,2.38,2.38,London,https://www.tradingview.com/x/dwb37bJA/,Yes,Short
EURUSD,13/09/2024,Bear,,-1,New York,https://www.tradingview.com/x/fMCg3lia/,No,Short
EURUSD,20/09/2024,Bear,2.25,2.25,London,https://www.tradingview.com/x/JlqS0k7s/,Yes,Short
EURUSD,02/07/2024,Bear,2,1.92,New York,https://www.tradingview.com/x/W9FQ0com/,Yes,Long
EURUSD,22/01/2024,Bear,2.1,2.04,London,https://www.tradingview.com/x/MPUY0ZoC/,Yes,Short
EURUSD,17/01/2024,Bear,2,1.78,London,https://www.tradingview.com/x/lsc0maGS/,Yes,Long
EURUSD,08/02/2024,Bear,3,2.59,London,https://www.tradingview.com/x/gqfku2bG/,Yes,Short
EURUSD,27/03/2024,Bear,,-1,London,https://www.tradingview.com/x/J497fLsB/,No,Long
EURUSD,11/04/2024,Bear,,-1,New York,https://www.tradingview.com/x/HcOk0BmY/,No,Long
EURUSD,26/04/2024,Bear,3.71,3.71,New York,https://www.tradingview.com/x/WGZM3AiC/,Yes,Short
EURUSD,18/01/2024,Bear,2.5,2.34,London,https://www.tradingview.com/x/zj4CAaUV/,Yes,Short
EURUSD,21/10/2024,Bear,4,1.86,London,https://www.tradingview.com/x/owo5obTV/,Yes,Short
EURUSD,05/04/2024,Bear,,-1,London,https://www.tradingview.com/x/VwfAlvo1/,No,Long
EURUSD,03/07/2024,Bear,,-1,London,https://www.tradingview.com/x/R2tXPzFV/,No,Short
EURUSD,11/01/2024,Bull,,-1,London,https://www.tradingview.com/x/qktx97Yu/,No,Short
EURUSD,16/10/2024,Bear,,-1,New York,https://www.tradingview.com/x/DlsgxkYs/,No,Long
EURUSD,02/04/2024,Bear,4,2.21,London,https://www.tradingview.com/x/X67MWmpc/,Yes,Long
EURUSD,29/03/2024,Bear,1.7,1.63,London,https://www.tradingview.com/x/eqDhHZ0u/,Yes,Long
EURUSD,29/02/2024,Bear,,-1,New York,https://www.tradingview.com/x/tr3uqNOi/,No,Short
EURUSD,31/01/2024,Bear,3.4,2.63,London,https://www.tradingview.com/x/0zBSm0io/,Yes,Long
EURUSD,17/09/2024,Bear,2.25,2.25,New York,https://www.tradingview.com/x/IWh5NTNN/,Yes,Short
EURUSD,03/10/2024,Bear,,-1,London,https://www.tradingview.com/x/qQOnY0vI/,No,Long
EURUSD,19/07/2024,Bear,,-1,New York,https://www.tradingview.com/x/P1TXrPdw/,No,Short
EURUSD,21/03/2024,Bear,3,2.31,London,https://www.tradingview.com/x/GdgfHw3n/,Yes,Short
EURUSD,21/05/2024,Bear,,-1,New York,https://www.tradingview.com/x/7OhKbSRD/,No,Short
EURUSD,10/09/2024,Bear,,-1,London,https://www.tradingview.com/x/XvPzL9sh/,No,Long
EURUSD,10/05/2024,Bear,,-1,New York,https://www.tradingview.com/x/XRWSN3tC/,No,Short
EURUSD,16/04/2024,Bear,1.5,1.5,London,https://www.tradingview.com/x/OysWgwdT/,Yes,Long
EURUSD,27/02/2024,Bear,2.2,2.17,New York,https://www.tradingview.com/x/6O3n52bJ/,Yes,Short
EURUSD,09/10/2024,Bear,,-1,London,https://www.tradingview.com/x/vNONrhQK/,No,Long
EURUSD,17/10/2024,Bear,,-1,New York,https://www.tradingview.com/x/k4YXXCNf/,No,Long
EURUSD,13/08/2024,Bear,2.03,2.03,London,https://www.tradingview.com/x/6mjYtIJ8/,Yes,Short
EURUSD,08/02/2024,Bear,2.5,2.11,New York,https://www.tradingview.com/x/SstshqSk/,Yes,Long
EURUSD,25/09/2024,Bear,,-1,London,https://www.tradingview.com/x/vKVPoZDa/,No,Short
EURUSD,12/12/2024,Bear,,-1,New York,https://www.tradingview.com/x/di4HK48W/,No,Long
EURUSD,16/12/2024,Bear,1.55,1.55,New York,https://www.tradingview.com/x/4zY4CH8f/,Yes,Short
EURUSD,04/11/2024,Bear,2,2,New York,https://www.tradingview.com/x/q9s04tGq/,Yes,Short
EURUSD,13/11/2024,Bear,1.97,1.97,London,https://www.tradingview.com/x/LdhtUGuS/,Yes,Short
EURUSD,27/02/2025,Bull,,-1,New York,https://www.tradingview.com/x/i5QAhHMl/,No,Long
EURUSD,18/12/2024,Bear,,-1,New York,https://www.tradingview.com/x/P3HW5kTi/,No,Long
EURUSD,05/12/2024,Bear,,-1,New York,https://www.tradingview.com/x/gmfGq76b/,No,Short
EURUSD,13/02/2025,Bull,3,2.13,London,https://www.tradingview.com/x/T20zgD1S/,Yes,Short
EURUSD,26/02/2025,Bull,2,2,London,https://www.tradingview.com/x/hT6YStDA/,Yes,Short
EURUSD,11/12/2024,Bear,,-1,New York,https://www.tradingview.com/x/0RPAsAyU/,No,Long
EURUSD,13/01/2025,Bear,,-1,London,https://www.tradingview.com/x/8XrbzHX5/,No,Long
EURUSD,29/11/2024,Bear,1.81,1.81,London,https://www.tradingview.com/x/uSZawHO4/,Yes,Short
EURUSD,13/12/2024,Bear,5,2.07,London,https://www.tradingview.com/x/Kkc3wEJ5/,Yes,Long
EURUSD,15/11/2024,Bear,2.5,2.22,New York,https://www.tradingview.com/x/BJOQ359l/,Yes,Short
EURUSD,23/01/2025,Bull,,-1,London,https://www.tradingview.com/x/i3Lm8sps/,No,Long
EURUSD,14/02/2025,Bull,,-1,New York,https://www.tradingview.com/x/XOioQ4Yl/,No,Short
EURUSD,09/12/2024,Bear,1.5,1.5,New York,https://www.tradingview.com/x/3KVp4S1s/,Yes,Long
EURUSD,03/03/2025,Bear,,-1,London,https://www.tradingview.com/x/63SnenMz/,No,Short
EURUSD,26/11/2024,Bear,1.75,1.75,New York,https://www.tradingview.com/x/3ltwoYIh/,Yes,Short
EURUSD,22/01/2025,Bull,2.5,2.41,New York,https://www.tradingview.com/x/12wBQttJ/,Yes,Short
EURUSD,20/11/2024,Bear,4.5,2.24,New York,https://www.tradingview.com/x/IwC3aaVU/,Yes,Short
EURUSD,31/01/2025,Bull,,-1,London,https://www.tradingview.com/x/vvcXyMj4/,No,Long
EURUSD,10/01/2025,Bear,,-1,New York,https://www.tradingview.com/x/DSOGSXJZ/,No,Long
EURUSD,06/02/2025,Bull,2.46,2.44,New York,https://www.tradingview.com/x/cUuEISU7/,Yes,Long
EURUSD,01/05/2025,Bull,,-1,New York,https://www.tradingview.com/x/CjyLdOv9/,No,Long
EURUSD,18/03/2025,Bull,2.5,2.2,London,https://www.tradingview.com/x/XWeWDj1e/,Yes,Short
EURUSD,19/03/2025,Bull,,-1,London,https://www.tradingview.com/x/nlEZD7TI/,No,Long
EURUSD,07/04/2025,Bull,2,2,Asia,https://www.tradingview.com/x/ssEWH3la/,Yes,Long
EURUSD,31/03/2025,Bull,24,2.24,London,https://www.tradingview.com/x/QcMTNx7q/,Yes,Short
EURUSD,28/02/2025,Bear,,-1,New York,https://www.tradingview.com/x/AyDxLXyL/,No,Long
EURUSD,16/04/2025,Bull,,-1,London,https://www.tradingview.com/x/OkmosYl1/,No,Short
EURUSD,25/04/2025,Bull,,2.08,London,https://www.tradingview.com/x/mNtmMLaY/,Yes,Long
EURUSD,09/09/2025,Bull,,-1,Asia,https://www.tradingview.com/x/lGSLrfnm/,No,Short
EURUSD,28/08/2025,Bull,,2,London,https://www.tradingview.com/x/VF7wO9CT/,Yes,Short
EURUSD,18/09/2025,Bull,,-1,London,https://www.tradingview.com/x/Bj5au268/,No,Short
EURUSD,06/05/2025,Bull,,2.14,London,https://www.tradingview.com/x/CAo4RlbW/,Yes,Long
EURUSD,27/03/2025,Bull,2.14,2.14,London,https://www.tradingview.com/x/zyCZoY7i/,Yes,Long
EURUSD,03/07/2025,Bull,,-1,Other,https://www.tradingview.com/x/eVmbjeba/,No,Long
EURUSD,27/08/2025,Bull,,3,New York,https://www.tradingview.com/x/Qhtv3Llh/,Yes,Long
EURUSD,28/05/2025,Bull,,-1,New York,https://www.tradingview.com/x/7pQcBIgC/,No,Long
EURUSD,09/09/2025,Bull,,2.2,London,https://www.tradingview.com/x/ogDB3dJD/,Yes,Short
EURUSD,07/08/2025,Bull,,2,London,https://www.tradingview.com/x/dE3nSYiI/,Yes,Short
EURUSD,08/05/2025,Bull,,-1,New York,https://www.tradingview.com/x/d7sRcKuF/,No,Long
EURUSD,23/09/2025,Bull,,2.11,London,https://www.tradingview.com/x/wOijVuun/,Yes,Short
EURUSD,23/05/2025,Bull,,-1,New York,https://www.tradingview.com/x/oK73w70V/,No,Short
EURUSD,04/06/2025,Bull,2.5,2.13,London,https://www.tradingview.com/x/UeGxNor8/,Yes,Long
EURUSD,02/05/2025,Bull,,-1,New York,https://www.tradingview.com/x/fNv4lgyM/,No,Short
EURUSD,19/06/2025,Bull,2.85,2.85,London,https://www.tradingview.com/x/Frb16l3j/,Yes,Long
EURUSD,29/09/2025,Bull,,-1,London,https://fxr-snapshots-asia.s3.amazonaws.com/1770304607964_375a8a16c15b6f417d7546f219a1a54a.png,No,Short
EURUSD,30/09/2025,Bull,,-1,New York,https://fxr-snapshots-asia.s3.amazonaws.com/1770304883388_436d9c13dc5d6162d2be57f2cbd4e4f3.png,No,Short
EURUSD,01/10/2025,Bull,2.62,2.62,London,https://fxr-snapshots-asia.s3.amazonaws.com/1770304883388_436d9c13dc5d6162d2be57f2cbd4e4f3.png,Yes,Short
EURUSD,06/10/2025,Bull,,-1,London,https://fxr-snapshots-asia.s3.amazonaws.com/1770305906551_1e5e19161153b02a9e47bc3a0b54d806.png,No,Short
EURUSD,14/10/2025,Bull,,-1,London,https://fxr-snapshots-asia.s3.amazonaws.com/1770306111544_5d465fba93c91fda3ce0a3c8faa8b813.png,No,Short
EURUSD,14/10/2025,Bull,2.5,2.26,New York,https://fxr-snapshots-asia.s3.amazonaws.com/1770306176714_d53f23cc32436a5f43bd01d71ead4530.png,Yes,Long
